trial_id,label,speaker_a,recording_a,path_a,speaker_b,recording_b,path_b
T0001,1,bomman,bomman1,audio_val/bomman/bomman1.wav,bomman,bomman2,audio_val/bomman/bomman2.wav
T0002,1,bomman,bomman1,audio_val/bomman/bomman1.wav,bomman,bomman3,audio_val/bomman/bomman3.wav
T0003,0,bomman,bomman1,audio_val/bomman/bomman1.wav,domixi,domixi1,audio_val/domixi/domixi1.wav
T0004,0,bomman,bomman1,audio_val/bomman/bomman1.wav,domixi,domixi2,audio_val/domixi/domixi2.wav
T0005,0,bomman,bomman1,audio_val/bomman/bomman1.wav,domixi,domixi3,audio_val/domixi/domixi3.wav
T0006,0,bomman,bomman1,audio_val/bomman/bomman1.wav,huanhoahong,huanhoahong1,audio_val/huanhoahong/huanhoahong1.wav
T0007,0,bomman,bomman1,audio_val/bomman/bomman1.wav,huanhoahong,huanhoahong2,audio_val/huanhoahong/huanhoahong2.wav
T0008,0,bomman,bomman1,audio_val/bomman/bomman1.wav,huanhoahong,huanhoahong3,audio_val/huanhoahong/huanhoahong3.wav
T0009,0,bomman,bomman1,audio_val/bomman/bomman1.wav,jv,jv1,audio_val/jv/jv1.wav
T0010,0,bomman,bomman1,audio_val/bomman/bomman1.wav,jv,jv2,audio_val/jv/jv2.wav
T0011,0,bomman,bomman1,audio_val/bomman/bomman1.wav,jv,jv3,audio_val/jv/jv3.wav
T0012,0,bomman,bomman1,audio_val/bomman/bomman1.wav,khabanh,khabanh1,audio_val/khabanh/khabanh1.wav
T0013,0,bomman,bomman1,audio_val/bomman/bomman1.wav,khabanh,khabanh2,audio_val/khabanh/khabanh2.wav
T0014,0,bomman,bomman1,audio_val/bomman/bomman1.wav,khabanh,khabanh3,audio_val/khabanh/khabanh3.wav
T0015,0,bomman,bomman1,audio_val/bomman/bomman1.wav,ntn,ntn1,audio_val/ntn/ntn1.wav
T0016,0,bomman,bomman1,audio_val/bomman/bomman1.wav,ntn,ntn2,audio_val/ntn/ntn2.wav
T0017,0,bomman,bomman1,audio_val/bomman/bomman1.wav,ntn,ntn3,audio_val/ntn/ntn3.wav
T0018,0,bomman,bomman1,audio_val/bomman/bomman1.wav,pewpew,pewpew1,audio_val/pewpew/pewpew1.wav
T0019,0,bomman,bomman1,audio_val/bomman/bomman1.wav,pewpew,pewpew2,audio_val/pewpew/pewpew2.wav
T0020,0,bomman,bomman1,audio_val/bomman/bomman1.wav,pewpew,pewpew3,audio_val/pewpew/pewpew3.wav
T0021,0,bomman,bomman1,audio_val/bomman/bomman1.wav,sena,sena1,audio_val/sena/sena1.wav
T0022,0,bomman,bomman1,audio_val/bomman/bomman1.wav,sena,sena2,audio_val/sena/sena2.wav
T0023,0,bomman,bomman1,audio_val/bomman/bomman1.wav,sena,sena3,audio_val/sena/sena3.wav
T0024,0,bomman,bomman1,audio_val/bomman/bomman1.wav,truongcon,truongcon1,audio_val/truongcon/truongcon1.wav
T0025,0,bomman,bomman1,audio_val/bomman/bomman1.wav,truongcon,truongcon2,audio_val/truongcon/truongcon2.wav
T0026,0,bomman,bomman1,audio_val/bomman/bomman1.wav,truongcon,truongcon3,audio_val/truongcon/truongcon3.wav
T0027,1,bomman,bomman2,audio_val/bomman/bomman2.wav,bomman,bomman3,audio_val/bomman/bomman3.wav
T0028,0,bomman,bomman2,audio_val/bomman/bomman2.wav,domixi,domixi1,audio_val/domixi/domixi1.wav
T0029,0,bomman,bomman2,audio_val/bomman/bomman2.wav,domixi,domixi2,audio_val/domixi/domixi2.wav
